Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts,Elite%
F,1,Balogun,4.4,4.4,Arsenal,0,0.00,0.00
D,2,Cédric,3.8,3.8,Arsenal,0,0.00,0.00
M,3,M.Elneny,4.4,4.4,Arsenal,1,0.05,0.00
M,4,Fábio Vieira,5.4,5.4,Arsenal,7,0.53,0.00
D,5,Gabriel,5.4,5.0,Arsenal,92,4.44,0.92
M,6,Havertz,7.6,7.6,Arsenal,83,4.71,0.01
D,7,Holding,4.3,4.3,Crystal Palace,4,0.13,0.00
F,8,G.Jesus,7.7,7.7,Arsenal,18,1.38,0.00
M,9,Jorginho,5.3,5.3,Arsenal,33,1.34,0.00
D,10,Kiwior,4.0,4.0,Arsenal,13,0.62,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0.00
M,12,Martinelli,7.5,7.5,Arsenal,40,2.82,0.00
F,13,Nketiah,5.0,5.0,Arsenal,5,0.43,0.00
M,14,Ødegaard,8.6,8.6,Arsenal,89,5.41,0.00
M,15,Thomas,4.8,4.8,Arsenal,48,1.85,0.00
M,16,Pepe,4.9,4.9,Arsenal,0,0.00,0.00
G,17,Ramsdale,4.5,4.5,Arsenal,0,0.00,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0.00
M,19,Saka,8.8,8.8,Arsenal,78,2.80,0.12
D,20,Saliba,5.9,5.9,Arsenal,92,4.16,0.19
M,21,Sambi,4.9,4.9,Luton,88,2.41,0.00
M,22,Smith Rowe,5.3,5.3,Arsenal,11,0.73,0.00
D,23,Tavares,4.0,4.0,Nott'm Forest,12,0.45,0.00
D,24,Tierney,4.4,4.4,Arsenal,0,0.00,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,74,3.85,0.00
M,26,Trossard,6.6,6.6,Arsenal,58,4.12,0.00
D,27,Trusty,3.9,3.9,Sheffield Utd,85,1.98,0.00
G,28,Turner,3.7,3.7,Nott'm Forest,2,0.08,0.01
D,29,White,6.1,6.1,Arsenal,86,4.21,0.29
M,30,Xhaka,6.0,6.0,Arsenal,0,0.00,0.00
D,31,Zinchenko,5.0,5.0,Arsenal,17,0.92,0.00
D,32,Alex Moreno,4.9,4.9,Aston Villa,26,1.01,0.00
F,33,Archer,4.2,4.2,Sheffield Utd,50,2.21,0.01
M,34,Bailey,5.4,5.4,Aston Villa,82,3.46,0.00
M,35,Buendia,5.7,5.7,Aston Villa,0,0.00,0.00
D,36,Cash,4.5,4.5,Aston Villa,0,0.00,0.00
D,37,Chambers,3.8,3.8,Aston Villa,15,0.44,0.00
M,38,Coutinho,5.8,5.8,Aston Villa,0,0.00,0.00
F,39,Davis,4.9,4.9,Aston Villa,0,0.00,0.00
M,40,Dendoncker,4.9,4.9,Aston Villa,0,0.00,0.00
D,41,Diego Carlos,4.4,4.4,Aston Villa,79,2.36,0.00
