ID,Name,Team,Region,Position,Cost,Predicted_Points,xMins,Opponent,Score,Assist,Goal_Involvement,Clean_Sheet,Projected_Goals
2,G.Jesus,Arsenal,30,Forward,6.8,2.04,34,Bournemouth (A),0.009,0.005,0.013,0.01,0.012
3,Gabriel,Arsenal,30,Defender,6.2,4.88,90,Bournemouth (A),0.126,0.077,0.193,0.357,0.143
4,Havertz,Arsenal,80,Forward,8.3,4.51,68,Bournemouth (A),0.342,0.226,0.491,0.357,0.471
6,J.Timber,Arsenal,152,Defender,5.5,2.78,63,Bournemouth (A),0.072,0.088,0.153,0.357,0.081
7,Jorginho,Arsenal,106,Midfielder,4.8,0.01,1,Bournemouth (A),0.032,0.027,0.058,0.105,0.037
8,Kiwior,Arsenal,172,Defender,4.8,1.29,32,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
9,Martinelli,Arsenal,30,Midfielder,7.0,3.81,61,Bournemouth (A),0.296,0.21,0.444,0.357,0.392
10,Nelson,Fulham,241,Midfielder,5.0,0.1,10,Aston Villa (H),0.014,0.005,0.019,0.026,0.015
11,Nketiah,Crystal Palace,241,Forward,5.9,3.83,79,Nott'm Forest (A),0.218,0.067,0.271,0.268,0.261
12,Nwaneri,Arsenal,241,Midfielder,4.5,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
13,Ødegaard,Arsenal,161,Midfielder,8.2,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
14,Ramsdale,Southampton,241,Goalkeeper,4.4,3.84,90,Leicester (H),0.0,0.0,0.0,0.268,0.0
15,Raya,Arsenal,200,Goalkeeper,5.6,4.36,90,Bournemouth (A),0.0,0.0,0.0,0.357,0.0
16,Rice,Arsenal,241,Midfielder,6.3,3.8,89,Bournemouth (A),0.128,0.205,0.307,0.357,0.148
17,Saka,Arsenal,241,Midfielder,10.1,7.02,89,Bournemouth (A),0.403,0.308,0.587,0.357,0.602
18,Saliba,Arsenal,73,Defender,6.0,3.73,90,Bournemouth (A),0.077,0.038,0.112,0.357,0.086
19,Smith Rowe,Fulham,241,Midfielder,5.7,4.37,77,Aston Villa (H),0.139,0.116,0.239,0.268,0.156
20,Thomas,Arsenal,81,Midfielder,5.0,2.89,80,Bournemouth (A),0.103,0.088,0.181,0.357,0.115
22,Tomiyasu,Arsenal,108,Defender,4.8,0.0,0,Bournemouth (A),0.0,0.0,0.0,0.0,0.0
23,Trossard,Arsenal,21,Midfielder,6.9,3.44,56,Bournemouth (A),0.296,0.134,0.391,0.357,0.392
24,White,Arsenal,241,Defender,6.3,2.35,58,Bournemouth (A),0.031,0.094,0.122,0.3,0.039
25,Zinchenko,Arsenal,225,Defender,4.8,0.1,12,Bournemouth (A),0.015,0.021,0.036,0.062,0.017
27,Archer,Southampton,241,Forward,5.0,2.31,49,Leicester (H),0.145,0.119,0.247,0.268,0.163
28,Bailey,Aston Villa,107,Midfielder,6.3,3.77,69,Fulham (A),0.213,0.172,0.349,0.234,0.265
32,Cash,Aston Villa,172,Defender,4.4,3.02,67,Fulham (A),0.068,0.045,0.11,0.15,0.078
36,Digne,Aston Villa,73,Defender,4.6,3.07,73,Fulham (A),0.062,0.115,0.17,0.234,0.07
38,Duran,Aston Villa,48,Forward,6.2,1.6,26,Fulham (A),0.017,0.015,0.032,0.088,0.022
39,Gauci,Aston Villa,13,Goalkeeper,4.0,0.0,0,Fulham (A),0.0,0.0,0.0,0.0,0.0
40,Hause,Aston Villa,241,Defender,4.0,0.0,0,Fulham (A),0.0,0.0,0.0,0.0,0.0
42,Kamara,Aston Villa,73,Midfielder,5.0,0.0,0,Fulham (A),0.0,0.0,0.0,0.0,0.0
44,Konsa,Aston Villa,241,Defender,4.5,1.26,52,Fulham (A),0.05,0.032,0.081,0.234,0.057
45,Maatsen,Aston Villa,152,Defender,4.8,0.31,17,Fulham (A),0.023,0.011,0.033,0.05,0.026
47,Martinez,Aston Villa,10,Goalkeeper,5.0,3.67,90,Fulham (A),0.0,0.0,0.0,0.234,0.0
48,McGinn,Aston Villa,243,Midfielder,5.2,0.0,0,Fulham (A),0.075,0.056,0.127,0.109,0.089
49,Mings,Aston Villa,241,Defender,4.4,0.0,0,Fulham (A),0.0,0.0,0.0,0.0,0.0
50,Nedeljkovic,Aston Villa,190,Defender,4.0,0.0,2,Fulham (A),0.019,0.017,0.036,0.097,0.025
52,Pau,Aston Villa,200,Defender,4.5,2.85,90,Fulham (A),0.062,0.032,0.093,0.234,0.07
54,Rogers,Aston Villa,241,Midfielder,5.3,4.2,90,Fulham (A),0.047,0.04,0.085,0.234,0.06
57,Tielemans,Aston Villa,21,Midfielder,5.5,3.47,90,Fulham (A),0.107,0.149,0.24,0.234,0.122
58,Watkins,Aston Villa,241,Forward,9.1,5.2,82,Fulham (A),0.325,0.166,0.437,0.234,0.45
60,Adams,Bournemouth,229,Midfielder,4.9,0.06,11,Arsenal (H),0.0,0.0,0.0,0.0,0.0
62,Brooks,Bournemouth,244,Midfielder,4.9,0.04,2,Arsenal (H),0.0,0.0,0.0,0.0,0.0
64,Cook,Bournemouth,241,Midfielder,5.0,2.8,90,Arsenal (H),0.062,0.105,0.16,0.144,0.07
65,Enes Ünal,Bournemouth,219,Forward,5.4,0.35,15,Arsenal (H),0.0,0.0,0.0,0.0,0.0
74,O.Dango,Bournemouth,35,Midfielder,5.0,1.6,40,Arsenal (H),0.048,0.026,0.072,0.04,0.058
76,Philip,Bournemouth,58,Midfielder,4.8,0.0,0,Arsenal (H),0.014,0.007,0.021,0.012,0.017
78,Semenyo,Bournemouth,81,Midfielder,5.7,4.33,90,Arsenal (H),0.213,0.098,0.29,0.144,0.26
80,Sinisterra,Bournemouth,48,Midfielder,5.0,0.74,18,Arsenal (H),0.02,0.017,0.036,0.067,0.025
81,Smith,Bournemouth,241,Defender,4.5,0.98,52,Arsenal (H),0.046,0.059,0.102,0.144,0.051
82,Solanke,Spurs,241,Forward,7.6,5.83,90,West Ham (H),0.056,0.048,0.101,0.312,0.071
83,Tavernier,Bournemouth,241,Midfielder,5.5,3.65,88,Arsenal (H),0.152,0.136,0.267,0.144,0.181
87,Brierley,Brentford,-1,Midfielder,4.5,0.0,0,Man Utd (A),0.0,0.0,0.0,0.0,0.0
88,Collins,Brentford,104,Defender,4.5,2.88,90,Man Utd (A),0.054,0.022,0.075,0.134,0.061
89,Damsgaard,Brentford,58,Midfielder,5.0,1.87,49,Man Utd (A),0.162,0.117,0.26,0.134,0.196
91,Flekken,Brentford,152,Goalkeeper,4.5,3.45,90,Man Utd (A),0.0,0.0,0.0,0.134,0.0
92,Henry,Brentford,241,Defender,4.3,0.0,0,Man Utd (A),0.0,0.0,0.0,0.0,0.0
94,Janelt,Brentford,80,Midfielder,4.9,2.86,84,Man Utd (A),0.088,0.088,0.168,0.134,0.097
95,Jensen,Brentford,58,Midfielder,5.3,1.47,41,Man Utd (A),0.034,0.079,0.11,0.071,0.04
97,Konak,Brentford,219,Midfielder,4.5,0.0,0,Man Utd (A),0.0,0.0,0.0,0.0,0.0
98,Lewis-Potter,Brentford,241,Midfielder,5.0,4.1,81,Man Utd (A),0.175,0.108,0.264,0.134,0.213
99,Mbeumo,Brentford,38,Midfielder,7.5,5.32,90,Man Utd (A),0.255,0.162,0.375,0.134,0.332
101,Nørgaard,Brentford,58,Midfielder,4.8,3.2,90,Man Utd (A),0.088,0.054,0.137,0.134,0.099
109,Valdimarsson,Brentford,99,Goalkeeper,4.0,0.0,0,Man Utd (A),0.0,0.0,0.0,0.0,0.0
110,Wissa,Brentford,50,Forward,5.9,0.0,0,Man Utd (A),0.0,0.0,0.0,0.0,0.0
111,Yarmoliuk,Brentford,225,Midfielder,4.4,1.1,27,Man Utd (A),0.006,0.005,0.01,0.018,0.007
115,Baleba,Brighton,38,Midfielder,5.0,1.32,47,Newcastle (A),0.117,0.069,0.178,0.17,0.132
117,Buonanotte,Leicester,10,Midfielder,5.0,2.66,59,Southampton (A),0.187,0.14,0.301,0.234,0.222
120,Dunk,Brighton,241,Defender,4.5,2.28,90,Newcastle (A),0.076,0.059,0.13,0.17,0.085
121,Enciso,Brighton,168,Midfielder,5.4,0.26,14,Newcastle (A),0.13,0.082,0.201,0.116,0.157
122,Estupiñan,Brighton,62,Defender,5.0,1.92,60,Newcastle (A),0.076,0.105,0.173,0.17,0.085
123,Ferguson,Brighton,104,Forward,5.5,0.1,4,Newcastle (A),0.19,0.03,0.214,0.127,0.242
126,Hinshelwood,Brighton,241,Midfielder,5.0,2.79,88,Newcastle (A),0.047,0.04,0.085,0.17,0.06
129,João Pedro,Brighton,30,Forward,5.5,0.0,0,Newcastle (A),0.0,0.0,0.0,0.0,0.0
132,March,Brighton,241,Midfielder,6.5,0.0,0,Newcastle (A),0.0,0.0,0.0,0.0,0.0
135,Minteh,Brighton,78,Midfielder,5.4,3.39,69,Newcastle (A),0.034,0.029,0.062,0.123,0.043
136,Mitoma,Brighton,108,Midfielder,6.6,4.24,90,Newcastle (A),0.047,0.04,0.085,0.17,0.06
137,Moder,Brighton,172,Midfielder,4.4,0.0,0,Newcastle (A),0.076,0.033,0.106,0.116,0.09
140,Peupion,Brighton,13,Midfielder,4.5,0.0,0,Newcastle (A),0.0,0.0,0.0,0.0,0.0
142,Steele,Brighton,241,Goalkeeper,4.4,0.0,0,Newcastle (A),0.0,0.0,0.0,0.082,0.0
145,Veltman,Brighton,152,Defender,4.5,2.09,88,Newcastle (A),0.059,0.051,0.106,0.17,0.065
146,Verbruggen,Brighton,152,Goalkeeper,4.5,3.06,90,Newcastle (A),0.047,0.04,0.085,0.17,0.06
148,Welbeck,Brighton,241,Forward,5.8,3.99,86,Newcastle (A),0.254,0.095,0.325,0.17,0.324
152,Arrizabalaga,Bournemouth,200,Goalkeeper,4.5,3.04,90,Arsenal (H),0.0,0.0,0.0,0.144,0.0
157,Caicedo,Chelsea,62,Midfielder,4.9,2.52,90,Liverpool (A),0.091,0.052,0.138,0.104,0.102
162,Colwill,Chelsea,241,Defender,4.6,1.98,86,Liverpool (A),0.062,0.063,0.121,0.104,0.07
